# STATION: KSLC
# STATION NAME: Salt Lake City, Salt Lake City International Airport
# LATITUDE: 40.77069
# LONGITUDE: -111.96503
# ELEVATION [ft]: 4226
# STATE: UT
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1
,,Fahrenheit,%,Miles/hour,Degrees
KSLC,10/15/2018 17:00 MDT,48.02,37.0,11.5,310.0
KSLC,10/15/2018 17:05 MDT,48.02,37.0,13.8,320.0
KSLC,10/15/2018 17:10 MDT,48.02,37.0,12.66,310.0
KSLC,10/15/2018 17:15 MDT,48.02,37.0,12.66,330.0
KSLC,10/15/2018 17:20 MDT,48.02,38.71,12.66,340.0
KSLC,10/15/2018 17:25 MDT,48.02,37.0,11.5,320.0
KSLC,10/15/2018 17:30 MDT,48.02,38.71,12.66,340.0
KSLC,10/15/2018 17:35 MDT,48.2,39.63,9.22,330.0
KSLC,10/15/2018 17:40 MDT,48.02,38.71,10.36,330.0
KSLC,10/15/2018 17:45 MDT,48.2,36.75,11.5,320.0
KSLC,10/15/2018 17:50 MDT,48.2,39.63,11.5,320.0
KSLC,10/15/2018 17:54 MDT,46.94,40.32,11.5,320.0
KSLC,10/15/2018 17:55 MDT,46.94,40.32,11.5,310.0
KSLC,10/15/2018 18:00 MDT,46.94,40.32,11.5,320.0
KSLC,10/15/2018 18:05 MDT,46.94,40.32,11.5,310.0
KSLC,10/15/2018 18:10 MDT,46.94,40.32,10.36,320.0
KSLC,10/15/2018 18:15 MDT,46.94,40.32,10.36,320.0
KSLC,10/15/2018 18:20 MDT,46.04,41.71,10.36,320.0
KSLC,10/15/2018 18:25 MDT,46.04,41.71,11.5,320.0
KSLC,10/15/2018 18:30 MDT,46.04,39.86,10.36,330.0
KSLC,10/15/2018 18:35 MDT,46.04,41.71,10.36,330.0
KSLC,10/15/2018 18:40 MDT,44.96,43.46,10.36,330.0
KSLC,10/15/2018 18:45 MDT,44.6,45.4,9.22,330.0
KSLC,10/15/2018 18:50 MDT,44.6,42.1,9.22,330.0
KSLC,10/15/2018 18:54 MDT,44.96,43.46,5.75,350.0
KSLC,10/15/2018 18:55 MDT,44.06,46.7,5.75,350.0
KSLC,10/15/2018 19:00 MDT,42.8,52.42,9.22,340.0
KSLC,10/15/2018 19:05 MDT,42.8,52.42,9.22,340.0
KSLC,10/15/2018 19:10 MDT,44.06,46.7,8.05,330.0
KSLC,10/15/2018 19:15 MDT,44.96,43.46,9.22,330.0
KSLC,10/15/2018 19:20 MDT,42.8,48.64,6.91,340.0
KSLC,10/15/2018 19:25 MDT,42.98,48.67,6.91,330.0
KSLC,10/15/2018 19:30 MDT,44.6,48.93,4.61,310.0
KSLC,10/15/2018 19:35 MDT,42.8,52.42,5.75,10.0
KSLC,10/15/2018 19:40 MDT,42.08,54.7,4.61,360.0
KSLC,10/15/2018 19:45 MDT,42.8,52.42,3.44,360.0
KSLC,10/15/2018 19:50 MDT,42.8,56.46,4.61,350.0
KSLC,10/15/2018 19:54 MDT,42.08,54.7,5.75,360.0
KSLC,10/15/2018 19:55 MDT,42.08,54.7,5.75,360.0
KSLC,10/15/2018 20:00 MDT,42.8,52.42,5.75,360.0
KSLC,10/15/2018 20:05 MDT,42.8,52.42,4.61,350.0
KSLC,10/15/2018 20:10 MDT,42.08,54.7,4.61,340.0
KSLC,10/15/2018 20:15 MDT,42.08,54.7,4.61,340.0
KSLC,10/15/2018 20:20 MDT,42.8,52.42,4.61,340.0
KSLC,10/15/2018 20:25 MDT,42.98,50.9,3.44,330.0
KSLC,10/15/2018 20:30 MDT,42.8,52.42,0.0,0.0
KSLC,10/15/2018 20:35 MDT,42.8,52.42,0.0,0.0
KSLC,10/15/2018 20:40 MDT,42.98,48.67,0.0,0.0
KSLC,10/15/2018 20:45 MDT,42.8,52.42,0.0,0.0
KSLC,10/15/2018 20:50 MDT,42.8,52.42,0.0,0.0
KSLC,10/15/2018 20:54 MDT,42.08,52.7,0.0,0.0
KSLC,10/15/2018 20:55 MDT,42.08,50.38,3.44,230.0
KSLC,10/15/2018 21:00 MDT,41.0,52.53,0.0,0.0
KSLC,10/15/2018 21:05 MDT,41.0,56.19,3.44,230.0
KSLC,10/15/2018 21:10 MDT,41.0,54.94,0.0,0.0
KSLC,10/15/2018 21:15 MDT,42.08,50.38,0.0,0.0
KSLC,10/15/2018 21:20 MDT,42.8,52.42,0.0,0.0
KSLC,10/15/2018 21:25 MDT,42.08,52.7,3.44,140.0
KSLC,10/15/2018 21:30 MDT,42.08,54.7,4.61,130.0
KSLC,10/15/2018 21:35 MDT,42.8,52.42,5.75,140.0
KSLC,10/15/2018 21:40 MDT,41.0,57.03,5.75,150.0
KSLC,10/15/2018 21:45 MDT,41.0,56.19,5.75,140.0
KSLC,10/15/2018 21:50 MDT,41.0,56.19,5.75,140.0
KSLC,10/15/2018 21:54 MDT,41.0,57.03,5.75,140.0
KSLC,10/15/2018 21:55 MDT,41.0,57.03,5.75,140.0
KSLC,10/15/2018 22:00 MDT,39.92,59.47,5.75,130.0
KSLC,10/15/2018 22:05 MDT,39.2,60.26,5.75,130.0
KSLC,10/15/2018 22:10 MDT,39.92,59.47,5.75,120.0
KSLC,10/15/2018 22:15 MDT,39.02,61.59,5.75,120.0
KSLC,10/15/2018 22:20 MDT,39.2,60.26,4.61,130.0
KSLC,10/15/2018 22:25 MDT,39.92,59.47,4.61,130.0
KSLC,10/15/2018 22:30 MDT,39.02,61.59,4.61,120.0
KSLC,10/15/2018 22:35 MDT,39.2,60.26,4.61,120.0
KSLC,10/15/2018 22:40 MDT,39.02,64.4,5.75,130.0
KSLC,10/15/2018 22:45 MDT,39.2,64.9,4.61,120.0
KSLC,10/15/2018 22:50 MDT,39.2,64.9,4.61,130.0
KSLC,10/15/2018 22:54 MDT,39.02,64.4,4.61,130.0
KSLC,10/15/2018 22:55 MDT,39.02,64.4,4.61,140.0
KSLC,10/15/2018 23:00 MDT,39.02,64.4,4.61,140.0
KSLC,10/15/2018 23:05 MDT,39.2,64.9,4.61,140.0
KSLC,10/15/2018 23:10 MDT,39.02,61.59,5.75,140.0
KSLC,10/15/2018 23:15 MDT,39.02,64.4,5.75,140.0
KSLC,10/15/2018 23:20 MDT,39.02,64.4,4.61,150.0
KSLC,10/15/2018 23:25 MDT,39.02,61.59,4.61,140.0
KSLC,10/15/2018 23:30 MDT,37.94,64.25,4.61,130.0
KSLC,10/15/2018 23:35 MDT,37.94,64.25,4.61,130.0
KSLC,10/15/2018 23:40 MDT,37.94,64.25,4.61,130.0
KSLC,10/15/2018 23:45 MDT,37.94,64.25,4.61,130.0
KSLC,10/15/2018 23:50 MDT,37.4,64.66,4.61,130.0
KSLC,10/15/2018 23:54 MDT,37.94,64.25,3.44,140.0
KSLC,10/15/2018 23:55 MDT,37.94,64.25,3.44,140.0
KSLC,10/16/2018 00:00 MDT,37.94,64.25,3.44,130.0
KSLC,10/16/2018 00:05 MDT,37.4,64.66,3.44,140.0
KSLC,10/16/2018 00:10 MDT,37.94,67.18,4.61,140.0
KSLC,10/16/2018 00:15 MDT,37.94,64.25,4.61,150.0
KSLC,10/16/2018 00:20 MDT,37.04,66.57,4.61,160.0
KSLC,10/16/2018 00:25 MDT,37.04,66.57,4.61,160.0
KSLC,10/16/2018 00:30 MDT,37.94,64.25,4.61,150.0
KSLC,10/16/2018 00:35 MDT,37.94,67.18,3.44,160.0
KSLC,10/16/2018 00:40 MDT,37.04,69.6,3.44,160.0
KSLC,10/16/2018 00:45 MDT,37.4,69.64,4.61,150.0
KSLC,10/16/2018 00:50 MDT,37.4,69.64,4.61,150.0
KSLC,10/16/2018 00:54 MDT,37.94,67.18,5.75,140.0
KSLC,10/16/2018 00:55 MDT,37.94,67.18,5.75,140.0
KSLC,10/16/2018 01:00 MDT,37.04,69.6,5.75,150.0
KSLC,10/16/2018 01:05 MDT,37.4,64.66,5.75,150.0
KSLC,10/16/2018 01:10 MDT,37.04,66.57,5.75,150.0
KSLC,10/16/2018 01:15 MDT,37.04,69.6,4.61,150.0
KSLC,10/16/2018 01:20 MDT,37.04,69.6,4.61,150.0
KSLC,10/16/2018 01:25 MDT,37.94,67.18,4.61,140.0
KSLC,10/16/2018 01:30 MDT,37.04,69.6,3.44,150.0
KSLC,10/16/2018 01:35 MDT,37.04,61.32,3.44,180.0
KSLC,10/16/2018 01:40 MDT,37.04,64.13,3.44,180.0
KSLC,10/16/2018 01:45 MDT,37.04,66.57,3.44,190.0
KSLC,10/16/2018 01:50 MDT,37.04,66.57,3.44,170.0
KSLC,10/16/2018 01:54 MDT,37.04,66.57,3.44,150.0
KSLC,10/16/2018 01:55 MDT,37.04,66.57,3.44,150.0
KSLC,10/16/2018 02:00 MDT,35.96,69.47,3.44,140.0
KSLC,10/16/2018 02:05 MDT,35.6,69.43,4.61,150.0
KSLC,10/16/2018 02:10 MDT,35.96,69.47,4.61,160.0
KSLC,10/16/2018 02:15 MDT,35.96,69.47,3.44,140.0
KSLC,10/16/2018 02:20 MDT,35.6,69.43,5.75,130.0
KSLC,10/16/2018 02:25 MDT,35.96,69.47,5.75,130.0
KSLC,10/16/2018 02:30 MDT,35.06,69.37,5.75,120.0
KSLC,10/16/2018 02:35 MDT,35.6,69.43,5.75,120.0
KSLC,10/16/2018 02:40 MDT,35.06,72.0,5.75,120.0
KSLC,10/16/2018 02:45 MDT,35.06,72.0,6.91,120.0
KSLC,10/16/2018 02:50 MDT,35.06,72.0,6.91,130.0
KSLC,10/16/2018 02:54 MDT,35.06,72.0,8.05,130.0
KSLC,10/16/2018 02:55 MDT,35.06,72.0,8.05,130.0
KSLC,10/16/2018 03:00 MDT,35.06,72.0,6.91,120.0
KSLC,10/16/2018 03:05 MDT,35.06,72.0,6.91,120.0
KSLC,10/16/2018 03:10 MDT,35.06,72.0,4.61,130.0
KSLC,10/16/2018 03:15 MDT,35.06,72.0,4.61,130.0
KSLC,10/16/2018 03:20 MDT,35.6,69.43,5.75,130.0
KSLC,10/16/2018 03:25 MDT,35.06,72.0,5.75,130.0
KSLC,10/16/2018 03:30 MDT,35.6,69.43,5.75,130.0
KSLC,10/16/2018 03:35 MDT,35.6,69.43,6.91,130.0
KSLC,10/16/2018 03:40 MDT,35.06,72.0,5.75,130.0
KSLC,10/16/2018 03:45 MDT,35.06,69.37,6.91,130.0
KSLC,10/16/2018 03:50 MDT,35.06,69.37,6.91,130.0
KSLC,10/16/2018 03:54 MDT,35.06,69.37,5.75,130.0
KSLC,10/16/2018 03:55 MDT,35.06,69.37,5.75,130.0
KSLC,10/16/2018 04:00 MDT,35.06,69.37,5.75,130.0
KSLC,10/16/2018 04:05 MDT,35.96,66.93,5.75,140.0
KSLC,10/16/2018 04:10 MDT,35.06,69.37,5.75,150.0
KSLC,10/16/2018 04:15 MDT,35.06,69.37,5.75,150.0
KSLC,10/16/2018 04:20 MDT,35.6,64.42,5.75,160.0
KSLC,10/16/2018 04:25 MDT,35.06,69.37,5.75,150.0
KSLC,10/16/2018 04:30 MDT,35.06,69.37,6.91,150.0
KSLC,10/16/2018 04:35 MDT,35.6,69.43,4.61,150.0
KSLC,10/16/2018 04:40 MDT,35.06,72.0,4.61,140.0
