# STATION: WBB,,,,,
# STATION NAME: U of U William Browning Building,,,,,
# LATITUDE: 40.76623,,,,,
# LONGITUDE: -111.84755,,,,,
# ELEVATION [ft]: 4806,,,,,
# STATE: UT,,,,,
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1
,,Celsius,%,m/s,Degrees
WBB,10/11/2018 12:00 MDT,10.96,53.36,1.04,263.7
WBB,10/11/2018 12:01 MDT,11.11,52.37,2.86,255.8
WBB,10/11/2018 12:02 MDT,10.89,52.9,2.44,255
WBB,10/11/2018 12:03 MDT,10.83,53.16,2.11,257.9
WBB,10/11/2018 12:04 MDT,10.85,52.7,2.22,266.7
WBB,10/11/2018 12:05 MDT,10.93,51.49,1.81,271.2
WBB,10/11/2018 12:06 MDT,10.93,51.29,1.89,273.8
WBB,10/11/2018 12:07 MDT,10.91,51.5,2.84,268.2
WBB,10/11/2018 12:08 MDT,10.91,50.31,2.73,261.6
WBB,10/11/2018 12:09 MDT,10.98,49.69,1.87,267.6
WBB,10/11/2018 12:10 MDT,11.1,50.66,2.42,247.6
WBB,10/11/2018 12:11 MDT,11.13,50.97,3.54,257.8
WBB,10/11/2018 12:12 MDT,10.85,50.01,3.84,256.5
WBB,10/11/2018 12:13 MDT,10.43,51.15,3.01,248.6
WBB,10/11/2018 12:14 MDT,10.28,52.92,2.57,252.4
WBB,10/11/2018 12:15 MDT,10.49,51.82,1.65,264.2
WBB,10/11/2018 12:16 MDT,10.79,51.7,0.94,290.7
WBB,10/11/2018 12:17 MDT,11.19,49.79,2.02,314.6
WBB,10/11/2018 12:18 MDT,11.07,49.79,2.39,300.3
WBB,10/11/2018 12:19 MDT,11.1,50.94,1.87,267.9
WBB,10/11/2018 12:20 MDT,11.27,50.35,2.77,242.4
WBB,10/11/2018 12:21 MDT,11.02,49.47,3.44,250.1
WBB,10/11/2018 12:22 MDT,10.55,51.01,3.49,254.5
WBB,10/11/2018 12:23 MDT,10.3,51.58,2.81,251.7
WBB,10/11/2018 12:24 MDT,10.28,51.14,2.39,254.2
WBB,10/11/2018 12:25 MDT,10.37,50.73,1.54,260
WBB,10/11/2018 12:26 MDT,10.54,51.17,1.92,270.2
WBB,10/11/2018 12:27 MDT,10.75,49.85,3.58,260.8
WBB,10/11/2018 12:28 MDT,10.94,49.07,2.83,255.4
WBB,10/11/2018 12:29 MDT,11.03,50.02,2.33,258.7
WBB,10/11/2018 12:30 MDT,11.06,50.5,1.43,299.6
WBB,10/11/2018 12:31 MDT,11.16,49.26,1.52,276.5
WBB,10/11/2018 12:32 MDT,11.28,49.89,2.51,251.1
WBB,10/11/2018 12:33 MDT,11.11,50.44,3.27,245.3
WBB,10/11/2018 12:34 MDT,10.74,52.15,2.77,237.7
WBB,10/11/2018 12:35 MDT,10.57,53.46,2.57,235.5
WBB,10/11/2018 12:36 MDT,10.75,52.76,2.43,278.4
WBB,10/11/2018 12:37 MDT,11.03,51.23,2.05,258.8
WBB,10/11/2018 12:38 MDT,11.29,48.91,2.97,250.3
WBB,10/11/2018 12:39 MDT,11.26,49.78,3.18,250.2
WBB,10/11/2018 12:40 MDT,11.17,49.77,4.01,255.6
WBB,10/11/2018 12:41 MDT,10.96,50.18,3.68,250.7
WBB,10/11/2018 12:42 MDT,10.69,51.36,3.37,262.6
WBB,10/11/2018 12:43 MDT,10.68,51.36,2.38,258.4
WBB,10/11/2018 12:44 MDT,10.73,50.98,3.18,231.5
WBB,10/11/2018 12:45 MDT,10.64,50.85,4.36,242.9
WBB,10/11/2018 12:46 MDT,10.47,51.28,3.13,241.1
WBB,10/11/2018 12:47 MDT,10.45,51.82,2.81,267.8
WBB,10/11/2018 12:48 MDT,10.5,51.04,2.48,267.8
WBB,10/11/2018 12:49 MDT,10.48,50.9,1.72,283.2
WBB,10/11/2018 12:50 MDT,10.52,51.02,3.87,268.9
WBB,10/11/2018 12:51 MDT,10.52,51.12,3.82,266.6
WBB,10/11/2018 12:52 MDT,10.55,50.99,2.98,270
WBB,10/11/2018 12:53 MDT,10.59,51.05,1.74,274.5
WBB,10/11/2018 12:54 MDT,10.7,50.64,2.1,270
WBB,10/11/2018 12:55 MDT,10.84,49.97,1.97,273.7
WBB,10/11/2018 12:56 MDT,10.8,49.46,1.72,269.4
WBB,10/11/2018 12:57 MDT,10.75,49.77,2.13,271.5
WBB,10/11/2018 12:58 MDT,10.85,49.84,1.37,260.5
WBB,10/11/2018 12:59 MDT,10.92,49.51,2.62,262
WBB,10/11/2018 13:00 MDT,11.03,49.28,1.75,275.7
WBB,10/11/2018 13:01 MDT,11.17,48.46,2.02,253.1
WBB,10/11/2018 13:02 MDT,11.06,49.1,1.76,236.2
WBB,10/11/2018 13:03 MDT,11.08,49.34,1.94,281.6
WBB,10/11/2018 13:04 MDT,11.2,47.92,2.16,263.9
WBB,10/11/2018 13:05 MDT,11.13,47.8,1.49,252.9
WBB,10/11/2018 13:06 MDT,11.17,48.18,1.48,259.1
WBB,10/11/2018 13:07 MDT,11.19,47.11,2.43,273.1
WBB,10/11/2018 13:08 MDT,11.15,47.73,2.89,269.2
WBB,10/11/2018 13:09 MDT,11.19,47.94,3.61,261.3
WBB,10/11/2018 13:10 MDT,11.25,47.99,3.2,260.2
WBB,10/11/2018 13:11 MDT,11.26,47.5,3,265.6
WBB,10/11/2018 13:12 MDT,11.23,47.75,3.46,266.8
WBB,10/11/2018 13:13 MDT,11.12,48.73,2.71,260.6
WBB,10/11/2018 13:14 MDT,11.17,48.62,1.49,283.7
WBB,10/11/2018 13:15 MDT,11.29,48.16,1.51,267.7
WBB,10/11/2018 13:16 MDT,11.54,47.49,1.4,271.2
WBB,10/11/2018 13:17 MDT,11.75,46.41,2.26,258.4
WBB,10/11/2018 13:18 MDT,11.71,46.35,3.11,251.4
WBB,10/11/2018 13:19 MDT,11.38,47.4,2.4,242.4
WBB,10/11/2018 13:20 MDT,11.16,48.6,1.53,258.2
WBB,10/11/2018 13:21 MDT,11.27,48.51,1.29,269.7
WBB,10/11/2018 13:22 MDT,11.43,47.18,3.04,245.5
WBB,10/11/2018 13:23 MDT,11.23,48.13,2.86,238.1
WBB,10/11/2018 13:24 MDT,11.21,48.63,2.44,241.6
WBB,10/11/2018 13:25 MDT,11.31,48.38,2.27,272.5
WBB,10/11/2018 13:26 MDT,11.32,48.16,3.12,259.7
WBB,10/11/2018 13:27 MDT,11.39,47.75,3.26,257.1
WBB,10/11/2018 13:28 MDT,11.38,47.8,2.44,262.9
WBB,10/11/2018 13:29 MDT,11.28,48.09,2.3,259
WBB,10/11/2018 13:30 MDT,11.27,48.64,2.2,248.5
WBB,10/11/2018 13:31 MDT,11.38,48.98,2.19,225
WBB,10/11/2018 13:32 MDT,11.51,48.19,1.1,197.7
WBB,10/11/2018 13:33 MDT,11.74,47.85,1.14,259.2
WBB,10/11/2018 13:34 MDT,11.93,47.13,1.27,290.5
WBB,10/11/2018 13:35 MDT,11.99,47.09,0.95,311.3
WBB,10/11/2018 13:36 MDT,11.97,47.15,0.99,254.9
WBB,10/11/2018 13:37 MDT,11.88,47.12,1.86,238.7
WBB,10/11/2018 13:38 MDT,11.57,48.79,1.57,260.3
WBB,10/11/2018 13:39 MDT,11.56,49.03,2.31,258.7
WBB,10/11/2018 13:40 MDT,11.62,49.15,1.19,287.5
WBB,10/11/2018 13:41 MDT,11.63,48.8,2.06,294.7
WBB,10/11/2018 13:42 MDT,11.45,49.66,1.72,285.1
WBB,10/11/2018 13:43 MDT,11.35,50.31,1.48,277.8
WBB,10/11/2018 13:44 MDT,11.44,50.29,1.55,299.6
