FID,TARGET_FID,OBJECTID,ID,TYPE,STATUS,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,OWNER,VOLTAGE,VOLT_CLASS,INFERRED,SUB_1,SUB_2,SHAPE__Len,ORIG_FID,STATE,ZONE,CWA,NAME,STATE_ZONE,TIME_ZONE,FE_AREA,LON,LAT
0,0,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
1,1,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
2,2,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
3,3,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
4,4,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
5,5,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
6,6,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
7,7,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
8,8,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
9,9,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
10,10,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
11,11,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
12,12,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
