FID,Join_Count,TARGET_FID,OBJECTID,ID,TYPE,STATUS,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,OWNER,VOLTAGE,VOLT_CLASS,INFERRED,SUB_1,SUB_2,SHAPE__Len,ORIG_FID,Latitude,Longitude,STATE,ZONE,CWA,NAME,STATE_ZONE,TIME_ZONE,FE_AREA,LON,LAT
0,1,0,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,40.0074534,-121.2507257,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
1,1,1,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,40.007513,-121.251958,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
2,1,2,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,40.006735,-121.25477,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
3,1,3,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,40.006164,-121.256747,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
4,1,4,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,40.006557,-121.258696,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
5,1,5,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,40.007327,-121.262244,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
6,1,6,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,40.00644,-121.265126,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
7,1,7,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,40.004241,-121.269348,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
8,1,8,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,40.000981,-121.272274,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
9,1,9,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,39.996898,-121.276062,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
