LATITUDE, LONGITUDE,F00,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18
40.53667,-122.13652,10.96600,12.24200,12.38900,11.72400,11.43300,11.37500,11.55700,12.21700,12.10500,13.55200,14.42900,14.41000,15.08900,13.72200,13.77300,13.31600,14.25200,14.04800,12.86500
40.52954,-122.17073,11.13100,11.18600,11.71400,11.40200,10.77200,10.98700,10.95000,11.93000,11.69200,12.92700,13.41700,13.97900,15.34500,13.08600,13.77300,12.45300,14.29600,13.80400,12.57100
40.52239,-122.20493,11.18700,10.98800,11.35200,11.35500,11.03900,10.76200,10.93800,11.87300,11.50500,12.16100,12.89200,13.79100,14.15400,13.05500,13.71000,12.18600,14.15200,12.47300,12.48300
40.54619,-121.95604,14.47300,15.64100,14.97900,14.71400,14.05300,13.25200,13.93500,14.83100,14.51800,15.42700,16.04600,17.12800,17.98000,17.18400,14.83500,17.00600,16.71000,16.23400,15.87500
40.50354,-122.16133,10.99100,11.82300,11.80200,11.45500,11.14500,11.20600,11.44600,11.95200,11.95500,13.46600,13.60400,14.17200,15.01400,13.54100,13.72900,13.09100,14.53300,13.96700,12.85200
40.49639,-122.19552,10.99100,11.36700,11.51400,11.51100,11.17000,11.10600,11.35900,11.87700,11.74200,12.63000,13.07300,15.10300,14.22300,13.72200,13.76000,12.67800,14.05200,13.79200,12.58800
40.47491,-122.29805,10.49900,11.02900,10.89600,10.75600,10.55800,10.27400,10.27400,9.79500,11.11800,11.12100,11.74200,12.54800,13.13600,13.09800,13.49100,12.10300,14.00800,12.34800,11.68200
40.52018,-121.94673,15.33600,15.49900,15.29300,14.72800,13.85900,13.80000,13.58900,14.34100,14.25900,15.48300,16.11900,16.48700,17.73200,17.19700,15.78800,16.27500,16.60300,15.95100,15.83800
40.46325,-122.22030,11.16500,11.37900,11.20800,11.29300,10.25300,11.16200,10.41800,10.92700,11.51300,12.31400,12.62200,14.41300,14.16400,13.33000,13.84100,13.06000,14.20200,13.11700,12.49400
40.44892,-122.28862,10.82400,11.16700,11.14600,11.47400,11.03300,10.81200,10.94500,10.95800,11.58700,11.87400,11.79200,12.97900,13.43400,13.28000,13.56000,12.70300,14.29000,12.67900,12.28200
40.49416,-121.93742,16.04900,15.54400,15.95500,15.01800,14.57500,14.25200,14.41500,15.78100,15.46200,15.96000,16.91900,16.49100,17.62400,17.06500,16.10700,16.34400,16.43900,15.92600,15.93800
40.43725,-122.21090,11.95900,11.48600,11.35200,11.59900,10.26600,10.63000,10.80500,10.50800,11.54200,12.44600,13.14700,14.30900,14.43300,13.42800,13.74800,13.97200,14.25800,13.54200,12.65800
40.43009,-122.24505,11.73400,11.41500,11.49600,11.81600,10.71600,10.48700,11.23400,11.39600,11.61900,12.29600,12.44700,14.14100,13.85200,13.48000,13.78600,14.31000,14.98900,13.51700,12.73300
