LATITUDE, LONGITUDE,F00,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18
40.53667,-122.13652,13.53194,12.87516,10.17467,9.84558,8.80550,9.04152,8.19902,6.53900,6.17600,7.08581,11.02983,9.91397,8.72095,8.38040,8.18853,9.30757,9.96095,10.08444,10.30546
40.52954,-122.17073,14.96944,13.75016,12.98717,10.90808,9.99300,10.22902,9.51152,8.60150,8.23850,9.14831,12.46733,11.66397,10.09595,9.63040,9.00103,9.68257,10.33595,10.83444,10.43046
40.52239,-122.20493,15.90694,14.50016,13.79967,13.47058,10.93050,11.35402,10.76152,10.16400,10.30100,10.83581,13.84233,13.03897,11.09595,10.63040,9.75103,9.99507,10.58595,11.27194,11.18046
40.54619,-121.95604,6.03194,5.62516,3.04967,3.22058,3.80550,2.91652,2.69902,1.60150,1.11350,2.64831,2.59233,4.66397,7.72095,3.88040,5.00103,5.55757,4.71095,5.77194,9.30546
40.50354,-122.16133,14.71944,13.50016,12.86217,10.34558,9.74300,9.41652,8.57402,7.28900,7.23850,8.77331,12.15483,10.47647,8.90845,8.25540,7.62603,8.30757,9.39845,10.39694,10.18046
40.49639,-122.19552,15.84444,14.56266,13.79967,13.28308,10.93050,10.85402,10.13652,8.97650,8.80100,10.33581,13.46733,12.03897,10.15845,9.44290,8.56353,8.80757,9.71095,10.83444,10.99296
40.47491,-122.29805,18.03194,17.25016,13.92467,13.40808,12.99300,13.10402,12.51152,9.47650,9.55100,11.02331,15.34233,14.10147,11.84595,11.13040,10.37603,10.05757,10.64845,11.45944,11.93046
40.52018,-121.94673,6.09444,8.62516,1.98717,5.34558,2.99300,2.35402,3.76152,2.53900,2.23850,2.64831,3.15483,2.53897,4.28345,3.19290,4.12603,5.37007,4.33595,3.95944,6.05546
40.46325,-122.22030,15.65694,14.56266,13.67467,13.03308,10.49300,10.54152,10.38652,8.72650,8.30100,10.46081,13.65483,11.72647,9.90845,9.00540,8.25103,8.37007,9.14845,10.45944,11.18046
40.44892,-122.28862,17.46944,16.62516,12.98717,12.53308,11.99300,12.16652,10.26152,8.78900,8.42600,10.21081,14.40483,13.22647,10.78345,10.00540,9.37603,9.24507,9.83595,11.02194,11.49296
40.49416,-121.93742,13.96944,12.87516,10.23717,12.53308,10.99300,9.10402,2.32402,1.60150,2.23850,3.39831,2.15483,0.91397,2.40845,3.19290,3.68853,5.43257,5.14845,5.02194,3.24296
40.43725,-122.21090,14.53194,13.68766,12.61217,9.59558,8.55550,8.54152,9.07402,7.78900,7.80100,9.14831,11.77983,10.10147,8.59595,7.69290,7.18853,7.49507,8.02345,9.70944,10.43046
40.43009,-122.24505,16.21944,13.50016,12.29967,11.78308,9.05550,8.97902,9.51152,8.16400,8.05100,9.64831,12.90483,11.41397,9.34595,8.31790,7.81353,8.05757,8.64845,10.02194,11.05546
40.42292,-122.27920,17.03194,16.25016,12.48717,12.09558,9.68050,9.66652,10.13652,8.97650,8.80100,10.27331,13.90483,12.41397,10.03345,9.00540,8.50103,8.55757,9.21095,10.52194,11.36796
40.39693,-122.26978,16.65694,13.50016,12.29967,11.97058,9.30550,9.16652,9.63652,9.10150,9.17600,9.89831,12.96733,11.60147,9.34595,8.13040,7.56353,7.80757,8.46095,9.77194,11.11796
40.38976,-122.30391,17.53194,16.75016,13.11217,12.78308,9.99300,9.85402,10.32402,9.91400,9.73850,10.21081,13.90483,12.22647,10.15845,8.69290,8.00103,8.18257,8.83595,10.20944,11.49296
40.43505,-121.95302,1.21944,2.50016,1.42467,2.47058,1.18050,3.54152,3.88652,4.72650,3.30100,4.14831,2.34233,1.22647,1.84595,1.63040,2.56353,3.05757,2.77345,2.14694,1.30546
40.37810,-122.22625,15.03194,12.43766,10.92467,9.03308,8.05550,7.91652,8.13652,8.10150,8.61350,8.27331,7.90483,9.60147,7.59595,6.75540,6.12603,6.37007,7.02345,8.33444,10.05546
